year,n_alive
1950,17516675
1951,17903228
1952,18299061
1953,18694533
1954,19089300
1955,19494999
1956,19912477
1957,20343406
1958,20655426
1959,20977707
1960,21476715
1961,22002703
1962,22560645
1963,23143670
1964,23754287
1965,24393105
1966,25061907
1967,25693384
1968,26409808
1969,27147498
1970,27913277
1971,28703215
1972,29495974
1973,30286682
1974,31101950
1975,31875277
1976,32630289
1977,33494142
1978,33895893
1979,34622236
1980,34895411
1981,34995528
1982,36642161
1983,37784625
1984,38685748
1985,39720032
1986,40851897
1987,42058721
1988,43645192
1989,45377881
1990,47014026
1991,48742121
1992,51132739
1993,52890369
1994,54692975
1995,56547446
1996,58405626
1997,60289671
1998,62177288
1999,64095699
2000,66059460
2001,68004275
2002,70033590
2003,72112839
2004,74224838
2005,76377213
2006,78562668
2007,80819432
2008,83172937
2009,85541272
2010,87969898
2011,90505683
2012,93130175
2013,95772383
2014,98396349
2015,101097184
2016,103846607
2017,106739850
2018,109656049
2019,112602827
2020,115638360
2021,118743462
2022,121822590
2023,124937259
2024,128116861
2025,131322576
2026,134554534
2027,137805748
2028,141073741
2029,144357987
2030,147649901
2031,150942855
2032,154227187
2033,157522079
2034,160798438
2035,164079192
2036,167351792
2037,170621028
2038,173884179
2039,177144163
2040,180415091
2041,183690067
2042,186975321
2043,190251829
2044,193553684
2045,196839709
2046,200131588
2047,203398152
2048,206669599
2049,209924865
2050,213190071
2051,216434547
2052,219657768
2053,222874540
2054,226070413
2055,229236404
2056,232364147
2057,235442530
2058,238493245
2059,241512619
2060,244468886
2061,247370181
2062,250244820
2063,253089237
2064,255877137
2065,258619514
2066,261310433
2067,263960968
2068,266557653
2069,269094894
2070,271605116
2071,274078632
2072,276501316
2073,278863945
2074,281163717
2075,283418227
2076,285633192
2077,287798177
2078,289906083
2079,291967739
2080,293982715
2081,295938196
2082,297845045
2083,299709571
2084,301521061
2085,303277226
2086,304976588
2087,306631296
2088,308220412
2089,309757951
2090,311242945
2091,312673342
2092,314053926
2093,315404999
2094,316694343
2095,317931828
2096,319107404
2097,320225577
2098,321294599
2099,322316158
2100,323282946
2101,324200253
